ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Skill Moves,Position,Joined,Height,Weight,release_c,Age_Group
53739,l. grant,35,england,74,74,manchester united,1300.0,39,right,1.0,1.0,gk,2018,6.333333333,183.0,2500.0,30-36
53748,k. pilkington,44,england,48,48,cambridge united,,1,right,1.0,1.0,gk,2018,6.166666667,190.0,4585.060806,более 36
54008,s. bywater,37,england,63,63,burton albion,20.0,1,right,1.0,1.0,gk,2016,6.083333333,179.0,35.0,более 36
54037,t. berni,35,italy,64,64,inter,110.0,5,right,1.0,1.0,gk,2017,6.083333333,176.0,187.0,30-36
101880,r. green,38,england,72,72,chelsea,210.0,28,right,2.0,1.0,gk,2018,6.166666667,203.0,389.0,более 36
102056,s. padoin,34,italy,71,71,cagliari,675.0,18,right,2.0,3.0,rb,2016,5.833333333,161.0,1100.0,30-36
108080,s. lichtsteiner,34,switzerland,79,79,arsenal,3600.0,94,right,3.0,3.0,rb,2018,6.0,168.0,6800.0,30-36
110638,cifuentes,39,spain,73,73,cádiz cf,270.0,4,right,1.0,1.0,gk,2015,6.25,172.0,432.0,более 36
114356,m. wölfli,35,switzerland,68,68,bsc young boys,210.0,4,right,1.0,1.0,gk,2000,6.083333333,194.0,315.0,30-36
115533,d. benaglio,34,switzerland,77,77,as monaco,3600.0,44,right,3.0,1.0,gk,2017,6.333333333,196.0,6800.0,30-36
121933,r. adler,33,germany,79,79,1. fsv mainz 05,6500.0,25,right,2.0,1.0,gk,2017,6.25,187.0,11700.0,30-36
134820,s. brown,33,scotland,77,77,celtic,3600.0,47,right,2.0,3.0,cdm,2007,5.75,176.0,6500.0,30-36
135043,a. lindegaard,34,denmark,68,68,burnley,375.0,14,right,2.0,1.0,gk,2017,6.333333333,187.0,713.0,30-36
135507,fernandinho,33,brazil,86,86,manchester city,18000.0,185,right,3.0,3.0,cdm,2013,5.833333333,148.0,33300.0,30-36
135576,diego barcelos,33,brazil,69,69,cd nacional,650.0,6,right,1.0,4.0,cam,2017,5.583333333,154.0,1400.0,30-36
135587,n. mäenpää,33,finland,69,69,bristol city,525.0,14,right,1.0,1.0,gk,2018,6.25,190.0,998.0,30-36
135647,p. calandria,36,argentina,69,69,cd o'higgins,375.0,3,right,1.0,2.0,st,2012,6.0,176.0,506.0,30-36
137186,a. barzagli,37,italy,84,84,juventus,4200.0,95,right,3.0,2.0,cb,2011,6.166666667,192.0,6900.0,более 36
137242,l. jiménez,34,chile,72,72,cd palestino,1600.0,4,right,2.0,3.0,rw,2018,6.0,165.0,2100.0,30-36
137410,d. gastaldello,35,italy,71,71,brescia,550.0,2,right,2.0,2.0,lcb,2017,6.083333333,170.0,853.0,30-36
137708,f. dick,33,germany,66,66,1. fc kaiserslautern,250.0,2,right,1.0,2.0,rb,2018,6.0,185.0,363.0,30-36
138336,b. holman,34,australia,69,69,brisbane roar,525.0,4,right,2.0,3.0,cam,2016,5.833333333,165.0,656.0,30-36
138412,j. milner,32,england,81,81,liverpool,13500.0,120,right,2.0,3.0,cm,2015,5.75,154.0,25700.0,30-36
138956,g. chiellini,33,italy,89,89,juventus,27000.0,215,left,4.0,2.0,lcb,2005,6.166666667,187.0,44600.0,30-36
138981,tiago gomes,31,portugal,67,67,cd feirense,500.0,4,left,1.0,3.0,lb,2017,5.833333333,159.0,1100.0,30-36
139062,w. caballero,36,argentina,76,76,chelsea,1000.0,39,right,2.0,1.0,gk,2017,6.083333333,179.0,1900.0,30-36
139533,a. hutton,33,scotland,70,70,aston villa,675.0,10,right,2.0,3.0,rb,2011,6.083333333,161.0,1300.0,30-36
139720,v. kompany,32,belgium,85,85,manchester city,22000.0,170,right,4.0,2.0,cb,2008,6.25,187.0,40700.0,30-36
139997,d. srna,36,croatia,80,80,cagliari,1700.0,27,right,3.0,3.0,rb,2018,5.833333333,172.0,2900.0,30-36
140082,rafael,36,brazil,75,75,cagliari,900.0,14,right,2.0,1.0,gk,2016,6.166666667,176.0,1500.0,30-36
140222,p. da silva,38,paraguay,72,72,,,0,right,2.0,2.0,rcb,2016,5.916666667,168.0,4585.060806,более 36
140293,a. mirante,34,italy,80,80,roma,6000.0,51,right,2.0,1.0,gk,2018,6.333333333,174.0,10200.0,30-36
140420,b. murphy,35,republic of ireland,64,64,cardiff city,110.0,5,right,1.0,1.0,gk,2016,6.0,183.0,220.0,30-36
140423,j. buxton,33,england,68,68,burton albion,375.0,5,right,1.0,2.0,cb,2017,5.916666667,183.0,656.0,30-36
140424,c. beardsley,34,england,60,60,burton albion,110.0,2,right,1.0,2.0,st,2018,6.0,179.0,193.0,30-36
140620,r. klavan,32,estonia,77,77,cagliari,5000.0,30,left,2.0,2.0,cb,2018,6.166666667,187.0,8500.0,30-36
142454,verza,31,spain,71,71,cf rayo majadahonda,1600.0,5,right,1.0,2.0,rcm,2018,5.916666667,172.0,2500.0,30-36
142499,aitor sanz,33,spain,73,73,cd tenerife,1600.0,8,right,1.0,3.0,cdm,2013,5.916666667,157.0,2600.0,30-36
142998,c. muñoz,41,argentina,68,68,cd universidad de concepción,60.0,1,right,1.0,1.0,gk,2013,5.833333333,161.0,84.0,более 36
143076,a. gómez,30,argentina,84,84,atalanta,30000.0,53,right,3.0,4.0,ls,2014,5.416666667,150.0,51000.0,20-30
144429,o. wendt,32,sweden,76,76,borussia mönchengladbach,4300.0,24,left,2.0,3.0,lb,2011,5.916666667,181.0,7200.0,30-36
144622,raffael,33,brazil,81,81,borussia mönchengladbach,11000.0,41,right,2.0,4.0,cf,2013,5.75,152.0,18700.0,30-36
145047,bruno saltor,37,spain,74,74,brighton & hove albion,650.0,25,right,1.0,3.0,rb,2012,5.916666667,168.0,1200.0,более 36
145996,seoane,35,spain,74,74,cd lugo,1300.0,6,right,1.0,2.0,rdm,2012,5.833333333,165.0,2100.0,30-36
146453,raúl cámara,34,spain,68,68,cd tenerife,250.0,4,right,1.0,3.0,rb,2013,5.583333333,141.0,400.0,30-36
146462,jorge garcía,34,spain,68,68,cf rayo majadahonda,270.0,3,left,1.0,2.0,cb,2017,6.0,174.0,419.0,30-36
146521,ripa,32,spain,69,69,cd numancia,575.0,5,left,1.0,2.0,lb,2011,5.833333333,161.0,920.0,30-36
146530,dani alves,35,brazil,82,82,paris saint-germain,4800.0,62,right,4.0,4.0,rb,2017,5.666666667,150.0,8900.0,30-36
146536,jesús navas,32,spain,80,80,sevilla fc,11500.0,22,right,2.0,3.0,rm,2017,5.583333333,132.0,24200.0,30-36
146947,vesga,25,spain,72,77,cd leganés,3500.0,14,left,1.0,3.0,cdm,2016,6.25,185.0,4585.060806,20-30
146952,iván cuéllar,34,spain,76,76,cd leganés,3100.0,21,left,1.0,1.0,gk,2017,6.166666667,168.0,6500.0,30-36
146974,miguel flaño,33,spain,67,67,ca osasuna,300.0,4,right,1.0,2.0,cb,2004,5.833333333,154.0,480.0,30-36
146996,rubén,34,spain,68,68,ca osasuna,375.0,3,right,1.0,1.0,gk,2018,6.166666667,179.0,600.0,30-36
147782,i. denisov,34,russia,80,80,lokomotiv moscow,4500.0,1,right,2.0,3.0,rdm,2013,5.75,154.0,9400.0,30-36
147899,c. moţi,33,romania,69,69,,,0,right,1.0,2.0,lcb,2016,6.0,172.0,4585.060806,30-36
150106,a. papadopoulos,33,greece,68,68,brisbane roar,375.0,3,right,2.0,2.0,lcb,2017,6.083333333,174.0,469.0,30-36
150724,j. hart,31,england,79,79,burnley,7500.0,45,right,3.0,1.0,gk,2018,6.416666667,201.0,14300.0,30-36
150995,b. rotenberg,32,finland,63,63,lokomotiv moscow,200.0,1,right,1.0,2.0,rb,2016,6.166666667,185.0,420.0,30-36
152211,r. özcan,34,austria,75,75,bayer 04 leverkusen,2700.0,36,left,1.0,1.0,gk,2016,6.0,172.0,4600.0,30-36
152729,piqué,31,spain,87,87,fc barcelona,34000.0,240,right,4.0,2.0,rcb,2008,6.333333333,187.0,69700.0,30-36
152747,a. lennon,31,england,76,76,burnley,7000.0,48,right,2.0,3.0,rm,2018,5.416666667,139.0,13300.0,30-36
152908,a. young,32,england,79,79,manchester united,7000.0,110,right,2.0,4.0,lb,2011,5.75,143.0,13000.0,30-36
153079,s. agüero,30,argentina,89,89,manchester city,64500.0,300,right,4.0,4.0,st,2011,5.666666667,154.0,119300.0,20-30
153160,r. raldes,37,bolivia,70,70,,,0,right,1.0,2.0,lb,2016,5.916666667,172.0,4585.060806,более 36
155862,sergio ramos,32,spain,91,91,real madrid,51000.0,380,right,4.0,3.0,rcb,2005,6.0,181.0,104600.0,30-36
155979,r. mccormack,31,scotland,72,72,central coast mariners,2800.0,16,right,1.0,3.0,ls,2016,5.75,163.0,4585.060806,30-36
156092,j. villar,41,paraguay,77,77,,,0,right,2.0,1.0,gk,2016,5.916666667,187.0,4585.060806,более 36
156432,g. hoarau,34,,77,77,bsc young boys,4700.0,26,right,2.0,3.0,ls,2014,6.333333333,187.0,7000.0,30-36
156481,t. moniwa,36,japan,60,60,cerezo osaka,30.0,1,right,1.0,2.0,cb,2015,5.916666667,181.0,38.0,30-36
156519,h. herrera,28,mexico,81,81,fc porto,17500.0,20,right,3.0,3.0,cm,2013,6.0,159.0,35000.0,20-30
156616,f. ribéry,35,france,83,83,fc bayern münchen,11500.0,72,right,4.0,5.0,lm,2007,5.583333333,159.0,19000.0,30-36
156713,a. granqvist,33,sweden,80,80,,,0,right,2.0,2.0,lcb,2016,6.333333333,185.0,4585.060806,30-36
156894,d. pratley,33,england,66,66,charlton athletic,375.0,4,right,1.0,3.0,rcm,2018,6.083333333,152.0,656.0,30-36
157304,t. vermaelen,32,belgium,77,77,fc barcelona,5000.0,110,left,3.0,2.0,cb,2014,6.0,176.0,10300.0,30-36
157960,manuel fernandes,32,portugal,81,81,lokomotiv moscow,14000.0,1,right,2.0,4.0,lm,2014,5.75,165.0,29400.0,30-36
157978,k. cissé,34,mali,65,65,central coast mariners,160.0,1,right,1.0,2.0,rcb,2018,6.166666667,187.0,200.0,30-36
158023,l. messi,31,argentina,94,94,fc barcelona,110500.0,565,left,5.0,4.0,rf,2004,5.583333333,159.0,226500.0,30-36
158133,j. farfán,33,peru,79,79,lokomotiv moscow,7500.0,1,right,2.0,4.0,cam,2017,5.833333333,185.0,15800.0,30-36
158172,m. parensen,32,germany,67,67,1. fc union berlin,425.0,9,left,1.0,3.0,lb,2009,5.916666667,174.0,680.0,30-36
158394,k. reichel,31,germany,73,73,1. fc union berlin,2600.0,23,left,1.0,3.0,lb,2018,6.083333333,183.0,4200.0,30-36
158657,t. kessler,32,germany,71,71,1. fc köln,1400.0,10,right,1.0,1.0,gk,2007,6.5,203.0,2000.0,30-36
158685,defendi,32,brazil,71,71,cd aves,1400.0,8,left,1.0,2.0,cb,2017,6.25,183.0,2900.0,30-36
158867,a. gerrard,32,republic of ireland,65,65,carlisle united,300.0,3,right,1.0,2.0,lcb,2018,6.166666667,183.0,525.0,30-36
158963,l. biglia,32,argentina,82,82,milan,12500.0,98,right,3.0,3.0,,2017,5.833333333,139.0,21300.0,30-36
160770,o. skúlason,35,iceland,71,71,,,0,right,2.0,2.0,cdm,2016,6.0,179.0,4585.060806,30-36
161805,v. behrami,33,switzerland,76,76,udinese,3100.0,24,right,2.0,3.0,cm,2017,6.083333333,172.0,5600.0,30-36
161956,borja valero,33,spain,81,81,inter,11000.0,74,right,3.0,4.0,cam,2017,5.75,161.0,18700.0,30-36
162054,m. bunn,33,england,69,69,aston villa,525.0,7,right,1.0,1.0,gk,2015,6.0,170.0,998.0,30-36
162280,a. mierzejewski,31,poland,75,75,changchun yatai fc,6000.0,12,left,2.0,4.0,rm,2018,5.75,161.0,12900.0,30-36
162297,d. padelli,32,italy,74,74,inter,3200.0,34,left,2.0,1.0,gk,2017,6.25,181.0,5500.0,30-36
162835,s. handanovič,33,slovenia,88,88,inter,30000.0,110,right,3.0,1.0,gk,2012,6.333333333,203.0,51000.0,30-36
162895,cesc fàbregas,31,spain,83,83,chelsea,22000.0,140,right,4.0,3.0,cm,2014,5.833333333,170.0,40700.0,30-36
163261,p. bardsley,33,scotland,72,72,burnley,1200.0,32,right,1.0,3.0,rb,2017,5.916666667,174.0,2300.0,30-36
163264,t. heaton,32,england,79,79,burnley,7000.0,45,right,2.0,1.0,gk,2013,6.166666667,203.0,13300.0,30-36
163303,g. whelan,34,republic of ireland,70,70,aston villa,550.0,10,right,2.0,2.0,cdm,2017,5.916666667,176.0,1000.0,30-36
163407,a. raggi,34,italy,75,75,as monaco,2000.0,48,right,2.0,2.0,cb,2012,6.166666667,181.0,3800.0,30-36
163581,t. craig,33,england,65,65,bristol rovers,220.0,3,left,1.0,2.0,lcb,2018,6.083333333,174.0,385.0,30-36
163616,j. young,32,england,67,67,brisbane roar,450.0,2,left,1.0,1.0,gk,2014,5.916666667,183.0,563.0,30-36
163619,j. hayes,30,republic of ireland,71,71,celtic,2200.0,31,left,1.0,3.0,lm,2017,5.666666667,161.0,4000.0,20-30
163670,b. safari,33,sweden,70,70,malmö ff,675.0,4,left,2.0,3.0,lcb,2016,5.916666667,163.0,878.0,30-36
163711,l. diarra,33,france,80,80,paris saint-germain,6000.0,75,right,3.0,3.0,cdm,2018,5.75,163.0,11100.0,30-36
163856,c. dagnall,32,england,64,64,bury,350.0,4,right,1.0,2.0,st,2018,5.666666667,165.0,613.0,30-36
163998,t. tzimopoulos,32,new zealand,68,68,,,0,right,1.0,2.0,cb,2016,6.166666667,181.0,4585.060806,30-36
164240,thiago silva,33,brazil,88,88,paris saint-germain,24000.0,165,right,4.0,2.0,rcb,2012,6.0,181.0,44400.0,30-36
164467,j. ward,32,northern ireland,67,67,charlton athletic,600.0,17,right,1.0,3.0,st,2016,5.416666667,130.0,4585.060806,30-36
164468,g. cahill,32,england,80,80,chelsea,8500.0,99,right,3.0,2.0,cb,2012,6.333333333,194.0,15700.0,30-36
164470,pita,33,spain,70,70,cd lugo,725.0,5,right,1.0,2.0,cdm,2010,6.166666667,179.0,1200.0,30-36
164471,xisco,32,spain,71,71,ca osasuna,1900.0,8,right,1.0,3.0,st,2017,6.166666667,168.0,3000.0,30-36
164484,j. dahlin,31,sweden,71,71,malmö ff,1400.0,4,right,1.0,1.0,gk,2017,6.25,198.0,1900.0,30-36
164626,t. kristensen,35,denmark,70,70,brisbane roar,425.0,3,right,1.0,3.0,rdm,2016,6.166666667,174.0,531.0,30-36
164645,s. dawson,32,republic of ireland,62,62,bury,230.0,3,right,1.0,2.0,cm,2017,6.0,157.0,403.0,30-36
164857,edinho,35,portugal,73,73,cd feirense,1800.0,9,right,1.0,3.0,st,2018,6.0,163.0,3900.0,30-36
165109,s. radu,31,romania,80,80,lazio,10000.0,51,left,2.0,3.0,lcb,2008,6.0,174.0,17000.0,30-36
165153,k. benzema,30,france,85,85,real madrid,37000.0,240,right,4.0,4.0,st,2009,6.083333333,179.0,75900.0,20-30
165229,l. koscielny,32,france,82,82,arsenal,12500.0,115,right,3.0,2.0,,2010,6.083333333,165.0,23800.0,30-36
165321,s. ward,32,republic of ireland,75,75,burnley,3700.0,42,left,2.0,3.0,lb,2014,6.083333333,176.0,7000.0,30-36
165429,c. keşerü,31,romania,73,73,,,0,left,2.0,2.0,cam,2016,5.833333333,157.0,4585.060806,30-36
165509,b. clarke,30,republic of ireland,66,66,charlton athletic,625.0,4,left,1.0,3.0,st,2017,5.583333333,141.0,1100.0,20-30
165738,j. kennedy,31,england,63,63,carlisle united,325.0,3,right,1.0,2.0,cm,2015,6.083333333,165.0,569.0,30-36
165894,yang dong hyen,32,korea republic,65,65,cerezo osaka,425.0,3,right,1.0,3.0,st,2018,6.083333333,176.0,531.0,30-36
166841,n. adams,31,wales,65,65,bury,475.0,4,right,1.0,3.0,rwb,2018,5.75,154.0,831.0,30-36
166848,n. danns,35,guyana,63,63,bury,150.0,2,right,1.0,2.0,cm,2016,5.75,172.0,263.0,30-36
166851,k. árnason,35,iceland,70,70,,,0,right,1.0,2.0,rcb,2016,6.25,181.0,4585.060806,30-36
167397,falcao,32,colombia,84,84,as monaco,25000.0,115,right,3.0,3.0,rs,2013,5.833333333,159.0,47500.0,30-36
167495,m. neuer,32,germany,89,89,fc bayern münchen,38000.0,130,right,5.0,1.0,gk,2011,6.333333333,203.0,62700.0,30-36
167514,d. basta,33,serbia,77,77,lazio,3400.0,41,right,2.0,3.0,rb,2014,6.0,159.0,5800.0,30-36
167664,g. higuaín,30,argentina,88,88,milan,57000.0,245,right,4.0,3.0,ls,2016,6.083333333,196.0,4585.060806,20-30
167694,m. connolly,30,england,67,67,cardiff city,550.0,13,right,1.0,2.0,rb,2012,6.166666667,185.0,1100.0,20-30
167905,a. valencia,32,ecuador,81,81,manchester united,10000.0,120,right,2.0,3.0,rm,2009,5.916666667,183.0,18500.0,30-36
168312,i. abate,31,italy,77,77,milan,6000.0,68,right,2.0,3.0,rb,2009,5.916666667,161.0,10200.0,30-36
168542,david silva,32,spain,90,90,manchester city,60000.0,285,left,4.0,4.0,lcm,2010,5.666666667,148.0,111000.0,30-36
168607,rafinha,32,brazil,76,76,fc bayern münchen,4300.0,53,right,2.0,3.0,rb,2011,5.666666667,150.0,7000.0,30-36
168609,miranda,33,brazil,85,85,inter,15500.0,96,right,3.0,2.0,cb,2017,6.083333333,172.0,26400.0,30-36
168633,d. grainger,31,england,63,63,carlisle united,240.0,3,left,1.0,2.0,lb,2014,5.833333333,172.0,420.0,30-36
168650,z. kuzmanović,30,serbia,71,71,fc basel 1893,2200.0,17,right,2.0,3.0,cm,2015,6.083333333,176.0,3300.0,20-30
168651,i. rakitić,30,croatia,87,87,fc barcelona,46500.0,260,right,4.0,3.0,rcm,2014,6.0,172.0,95300.0,20-30
168651,i. rakitić,30,croatia,87,87,fc barcelona,46500.0,260,right,4.0,3.0,rcm,2014,6.0,172.0,95300.0,20-30
169115,a. masiello,32,italy,79,79,atalanta,7000.0,30,right,2.0,2.0,cb,2011,6.0,181.0,11900.0,30-36
169214,s. sinclair,29,england,75,75,celtic,6500.0,48,right,2.0,4.0,lm,2016,5.833333333,154.0,11700.0,20-30
169345,m. suttner,31,austria,73,73,brighton & hove albion,2600.0,33,left,1.0,3.0,lb,2017,5.833333333,161.0,5000.0,30-36
169404,j. fejzić,32,bosnia herzegovina,69,69,1. fc magdeburg,600.0,6,right,1.0,1.0,gk,2018,6.5,209.0,930.0,30-36
169423,s. ekramy,34,egypt,69,69,,,0,right,1.0,1.0,gk,2016,6.333333333,205.0,4585.060806,30-36
169424,i. bandalovski,31,bulgaria,67,67,,,0,right,1.0,3.0,rb,2016,6.0,170.0,4585.060806,30-36
169447,m. mcglinchey,31,new zealand,62,62,central coast mariners,270.0,1,right,1.0,3.0,cam,2018,5.75,150.0,338.0,30-36
169493,f. fielding,30,england,69,69,bristol city,675.0,14,right,1.0,1.0,gk,2013,6.083333333,168.0,1300.0,20-30
169575,l. peltier,31,england,69,69,cardiff city,700.0,19,right,1.0,2.0,rb,2015,5.833333333,161.0,1400.0,30-36
169619,g. liddle,32,england,65,65,carlisle united,300.0,3,right,1.0,2.0,rcb,2017,6.083333333,174.0,525.0,30-36
169706,j. cork,29,england,78,78,burnley,10000.0,58,right,2.0,3.0,rcm,2017,6.0,165.0,19000.0,20-30
169721,m. richards,30,england,68,68,aston villa,675.0,8,right,2.0,2.0,cb,2015,5.916666667,183.0,1300.0,20-30
169843,b. turner,29,england,68,68,burton albion,700.0,5,left,1.0,2.0,cb,2016,6.333333333,201.0,1200.0,20-30
169912,b. moore,29,england,62,62,bury,300.0,3,right,1.0,2.0,rs,2018,5.75,159.0,525.0,20-30
170309,f. piovaccari,33,italy,64,64,córdoba cf,280.0,3,right,1.0,2.0,st,2018,5.916666667,170.0,434.0,30-36
170569,david rodríguez,32,spain,69,69,ca osasuna,850.0,6,right,1.0,3.0,st,2017,5.833333333,165.0,1400.0,30-36
170636,a. lithgow,30,scotland,66,66,livingston fc,475.0,2,right,1.0,2.0,lcb,2018,6.083333333,187.0,831.0,20-30
170815,s. defour,30,belgium,80,80,burnley,13500.0,65,right,2.0,3.0,lcm,2016,5.75,159.0,25700.0,20-30
170828,shikabala,32,egypt,71,71,,,0,left,1.0,5.0,lw,2016,6.0,163.0,4585.060806,30-36
170890,b. matuidi,31,france,85,85,juventus,26000.0,145,left,3.0,2.0,lm,2017,5.916666667,165.0,42900.0,30-36
171019,d. forde,38,republic of ireland,65,65,cambridge united,40.0,2,right,1.0,1.0,gk,2017,6.166666667,198.0,70.0,более 36
171067,rafa lópez,33,spain,71,71,cf rayo majadahonda,950.0,5,right,1.0,2.0,rcb,2018,5.833333333,159.0,1500.0,30-36
171189,aythami artiles,32,spain,72,72,córdoba cf,1800.0,7,right,1.0,2.0,lcb,2018,6.0,172.0,2800.0,30-36
171315,alfaro,31,spain,69,69,córdoba cf,925.0,5,right,1.0,3.0,rm,2016,5.75,161.0,1400.0,30-36
171320,g. miller,31,scotland,62,62,carlisle united,200.0,2,right,,,lb,2016,5.946771114,165.9791288,4585.060806,30-36
171490,s. aresti,32,italy,67,67,cagliari,450.0,8,right,1.0,1.0,gk,2018,6.166666667,172.0,765.0,30-36
171565,linares,35,spain,69,69,cf reus deportiu,475.0,4,right,1.0,2.0,st,2018,5.916666667,172.0,736.0,30-36
171774,luso,33,spain,72,72,cf rayo majadahonda,1300.0,5,right,1.0,2.0,lcb,2018,6.0,165.0,2000.0,30-36
171833,d. sturridge,28,england,80,80,liverpool,15500.0,125,left,3.0,4.0,st,2013,5.916666667,168.0,29500.0,20-30
171900,f. schönheim,31,germany,68,68,1. fc union berlin,600.0,11,left,1.0,2.0,cb,2013,6.25,203.0,960.0,30-36
171970,e. upson,28,england,65,65,bristol rovers,525.0,3,right,1.0,3.0,cm,2018,5.916666667,161.0,919.0,20-30
171992,juan carlos,30,spain,68,68,cd numancia,575.0,4,right,1.0,1.0,gk,2018,6.0,168.0,920.0,20-30
172041,t. mikkelsen,31,denmark,67,67,brisbane roar,675.0,3,right,1.0,3.0,lm,2018,5.833333333,161.0,844.0,30-36
172178,b. corr,33,republic of ireland,63,63,cambridge united,230.0,4,right,1.0,2.0,st,2018,6.25,174.0,403.0,30-36
172411,servando,34,spain,69,69,cádiz cf,325.0,5,right,1.0,2.0,cb,2014,5.916666667,165.0,520.0,30-36
172425,s. bamba,33,ivory coast,75,75,cardiff city,2700.0,38,right,1.0,2.0,lcb,2016,6.25,190.0,5400.0,30-36
172680,s. sinclair,30,england,60,60,bristol rovers,190.0,2,right,1.0,2.0,cm,2014,5.583333333,148.0,333.0,20-30
172716,alex lópez,30,spain,70,70,brisbane roar,1600.0,4,right,1.0,3.0,ldm,2018,5.833333333,157.0,2100.0,20-30
172823,n. maynard,31,england,67,67,bury,675.0,6,right,1.0,3.0,ls,2018,5.916666667,154.0,1200.0,30-36
172835,m. andreolli,32,italy,74,74,cagliari,3200.0,25,right,2.0,2.0,cb,2017,6.166666667,176.0,5500.0,30-36
172837,e. alfonso,30,italy,68,68,brescia,575.0,2,right,1.0,1.0,gk,2018,6.25,192.0,891.0,20-30
172879,sokratis,30,greece,84,84,arsenal,23000.0,140,right,3.0,2.0,rcb,2018,6.083333333,187.0,43700.0,20-30
172904,l. tomlin,29,england,70,70,cardiff city,1700.0,25,right,1.0,3.0,cam,2017,5.916666667,163.0,3500.0,20-30
172928,c. lines,32,england,66,66,bristol rovers,475.0,4,right,1.0,3.0,cm,2015,6.166666667,174.0,831.0,30-36
172937,g. murray,34,england,77,77,brighton & hove albion,4700.0,51,right,1.0,2.0,st,2017,6.0,176.0,8900.0,30-36
172962,v. moses,27,nigeria,78,78,chelsea,11000.0,105,right,2.0,4.0,rw,2012,5.833333333,170.0,20400.0,20-30
173146,l. cigarini,32,italy,75,75,cagliari,5000.0,29,right,2.0,3.0,cm,2017,5.75,159.0,8500.0,30-36
173147,d. dessena,31,italy,70,70,cagliari,1500.0,17,right,2.0,3.0,lcm,2012,6.0,165.0,2600.0,30-36
173179,torrejón,32,spain,72,72,1. fc union berlin,1800.0,20,right,1.0,2.0,cb,2017,6.166666667,194.0,2900.0,30-36
173221,a. candreva,31,italy,81,81,inter,15500.0,74,right,3.0,4.0,rm,2016,5.916666667,154.0,26400.0,30-36
173245,r. fernández,33,argentina,70,70,cd o'higgins,1000.0,4,right,1.0,3.0,lcm,2018,5.666666667,157.0,1400.0,30-36
173325,de las cuevas,32,spain,70,70,córdoba cf,1300.0,6,right,1.0,3.0,lm,2018,5.75,152.0,2100.0,30-36
173373,s. romero,31,argentina,80,80,manchester united,9000.0,91,right,3.0,1.0,gk,2015,6.333333333,192.0,16700.0,30-36
173426,s. mignolet,30,belgium,79,79,liverpool,8000.0,76,right,3.0,1.0,gk,2013,6.333333333,192.0,15200.0,20-30
173521,marcano,31,spain,82,82,roma,15000.0,73,left,3.0,2.0,,2018,6.166666667,170.0,25500.0,30-36
173533,d. button,29,england,68,68,brighton & hove albion,600.0,14,right,1.0,1.0,gk,2018,6.25,192.0,1100.0,20-30
173614,j. pearce,30,england,70,70,charlton athletic,1300.0,7,left,1.0,2.0,lcb,2016,6.083333333,157.0,2300.0,20-30
173671,k. mcfadzean,31,england,68,68,burton albion,600.0,5,right,1.0,2.0,lcb,2016,6.083333333,187.0,1100.0,30-36
